City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Dindori,IN,2022-11-29 21:42:11,22.95,81.0833,55.33,57,5,3.22
153,Jalu,LY,2022-11-29 21:42:11,29.0331,21.5482,59.77,50,0,7.54
154,Hovd,MN,2022-11-29 21:42:12,48.0056,91.6419,-7.47,71,0,2.98
155,Wucheng,CN,2022-11-29 21:42:12,29.6008,118.175,36.55,93,100,7.4
156,Fort Nelson,CA,2022-11-29 21:42:13,58.8053,-122.7002,-11.61,70,100,4.61
157,Isangel,VU,2022-11-29 21:37:51,-19.55,169.2667,86.11,84,40,4.61
158,Saldanha,ZA,2022-11-29 21:42:13,-33.0117,17.9442,64.45,96,4,2.13
159,Key West,US,2022-11-29 21:42:13,24.5557,-81.7826,89.6,70,0,17.27
160,Bethel,US,2022-11-29 21:42:14,41.3712,-73.414,40.55,67,0,3.44
161,Banikoara,BJ,2022-11-29 21:42:14,11.2985,2.4386,75.67,23,42,3.67
162,Erzurum,TR,2022-11-29 21:42:14,40.0,41.5,35.28,63,100,5.73
163,Oak Ridge,US,2022-11-29 21:40:01,36.0104,-84.2696,66.15,57,0,0.0
164,Qaqortoq,GL,2022-11-29 21:42:15,60.7167,-46.0333,27.19,90,100,3.18
165,Labuhan,ID,2022-11-29 21:42:15,-6.8844,112.2051,77.27,85,100,10.69
166,Kruisfontein,ZA,2022-11-29 21:38:14,-34.0033,24.7314,67.89,68,11,6.98
167,Samarai,PG,2022-11-29 21:42:16,-10.6167,150.6667,82.54,75,97,5.7
168,Sangmelima,CM,2022-11-29 21:42:16,2.9333,11.9833,69.21,92,100,2.84
169,Mackenzie,CA,2022-11-29 21:42:16,55.2999,-123.1698,3.42,47,100,20.71
170,Guerrero Negro,MX,2022-11-29 21:42:17,27.9769,-114.0611,65.19,55,1,15.43
171,Labrea,BR,2022-11-29 21:42:17,-7.2586,-64.7981,83.28,68,94,2.26
172,Znamenskoye,RU,2022-11-29 21:42:17,57.1281,73.8282,-11.47,96,8,3.62
173,Floro,NO,2022-11-29 21:42:18,61.5996,5.0328,44.96,65,100,13.8
174,Manjacaze,MZ,2022-11-29 21:42:18,-24.7117,33.8828,65.07,73,0,4.27
175,Kavieng,PG,2022-11-29 21:42:18,-2.5744,150.7967,83.52,64,98,2.98
176,Saskylakh,RU,2022-11-29 21:42:19,71.9167,114.0833,-31.05,100,90,6.13
177,Saint Pete Beach,US,2022-11-29 21:42:19,27.7253,-82.7412,82.45,52,9,3.0
178,Mehamn,NO,2022-11-29 21:42:19,71.0357,27.8492,35.55,93,75,13.8
179,Dahegam,IN,2022-11-29 21:42:20,23.1667,72.8167,67.77,40,100,8.57
180,Nicoya,CR,2022-11-29 21:42:20,10.1483,-85.452,79.25,83,87,2.44
181,Comodoro Rivadavia,AR,2022-11-29 21:42:21,-45.8667,-67.5,57.06,51,0,13.8
182,Bredasdorp,ZA,2022-11-29 21:37:59,-34.5322,20.0403,64.89,77,6,4.74
183,Mbini,GQ,2022-11-29 21:42:21,1.574,9.6134,78.46,83,94,4.47
184,Hithadhoo,MV,2022-11-29 21:42:22,-0.6,73.0833,81.18,74,99,7.78
185,Homer,US,2022-11-29 21:42:22,59.6425,-151.5483,24.67,51,0,5.75
186,Cape Town,ZA,2022-11-29 21:40:41,-33.9258,18.4232,64.11,87,20,5.75
187,Saint-Pierre,RE,2022-11-29 21:42:23,-21.3393,55.4781,75.9,68,0,3.44
188,Ngunguru,NZ,2022-11-29 21:42:23,-35.6167,174.5,71.04,62,71,11.27
189,San Vicente,AR,2022-11-29 21:43:23,-26.6167,-54.1333,70.79,75,50,6.76
190,Amuntai,ID,2022-11-29 21:43:24,-2.4177,115.2494,72.9,98,32,1.23
191,Ozark,US,2022-11-29 21:43:24,37.0209,-93.206,70.21,57,9,16.37
192,Cap-Aux-Meules,CA,2022-11-29 21:43:25,47.3821,-61.8597,28.45,64,100,19.57
193,Savannah Bight,HN,2022-11-29 21:43:25,16.45,-85.85,81.07,77,4,17.94
194,Bairiki,KI,2022-11-29 21:43:25,1.3292,172.9752,82.4,83,40,8.05
195,Kloulklubed,PW,2022-11-29 21:42:39,7.0419,134.2556,79.3,76,82,19.95
196,Atuona,PF,2022-11-29 21:43:26,-9.8,-139.0333,77.74,72,23,15.21
197,Bonfim,BR,2022-11-29 21:43:26,3.0833,-59.95,78.53,81,100,4.25
198,Colares,PT,2022-11-29 21:43:26,38.7992,-9.4469,55.76,70,51,7.0
199,Chulym,RU,2022-11-29 21:43:27,55.0997,80.9572,-7.49,89,100,2.89
200,Ponta Do Sol,PT,2022-11-29 21:43:27,32.6667,-17.1,65.03,72,24,2.44
201,Danielskuil,ZA,2022-11-29 21:43:27,-28.1887,23.5395,70.39,48,54,14.79
202,Piacabucu,BR,2022-11-29 21:43:28,-10.4056,-36.4344,76.55,88,91,16.51
203,Maputo,MZ,2022-11-29 21:43:28,-25.9653,32.5892,71.28,68,40,4.61
204,Sur,OM,2022-11-29 21:43:28,22.5667,59.5289,74.75,56,0,3.47
205,Eureka,US,2022-11-29 21:43:29,40.8021,-124.1637,54.19,59,69,4.0
206,Avera,US,2022-11-29 21:43:29,33.194,-82.5271,69.31,60,1,6.49
207,Dingle,PH,2022-11-29 21:43:29,10.9995,122.6711,75.51,93,30,7.72
208,Benalla,AU,2022-11-29 21:43:30,-36.55,145.9833,62.29,68,20,6.15
209,Ribeira Grande,PT,2022-11-29 21:43:31,38.5167,-28.7,63.0,88,40,6.91
210,Mahebourg,MU,2022-11-29 21:43:31,-20.4081,57.7,73.69,78,20,2.3
211,Porto Belo,BR,2022-11-29 21:43:30,-27.1578,-48.5531,72.9,91,76,16.33
212,Narsaq,GL,2022-11-29 21:43:32,60.9167,-46.05,30.42,88,100,4.47
213,Liepaja,LV,2022-11-29 21:43:32,56.5419,21.0367,31.98,86,100,3.44
214,Irtyshskiy,RU,2022-11-29 21:43:32,58.3333,68.1333,0.75,85,100,7.34
215,Corrales,US,2022-11-29 21:43:33,35.2378,-106.6067,54.64,37,0,24.16
216,Yulara,AU,2022-11-29 21:43:33,-25.2406,130.9889,69.87,32,0,14.05
217,Port Hedland,AU,2022-11-29 21:43:33,-20.3167,118.5667,78.85,89,100,0.0
218,Manta,EC,2022-11-29 21:43:34,-0.95,-80.7333,82.18,57,0,16.11
219,Linqiong,CN,2022-11-29 21:43:34,30.4159,103.4609,46.22,59,100,5.21
220,Porto Novo,BJ,2022-11-29 21:43:34,6.4965,2.6036,82.22,83,94,6.85
221,Henties Bay,NA,2022-11-29 21:43:35,-22.116,14.2845,59.74,84,40,5.82
222,Vestmannaeyjar,IS,2022-11-29 21:43:35,63.4427,-20.2734,45.9,91,100,38.63
223,Mindelo,CV,2022-11-29 21:43:35,16.8901,-24.9804,74.75,69,40,16.11
224,Birjand,IR,2022-11-29 21:43:36,32.8663,59.2211,37.87,41,0,13.8
225,Skelleftea,SE,2022-11-29 21:43:36,64.7507,20.9528,33.01,100,100,3.44
226,Berck,FR,2022-11-29 21:43:36,50.4,1.6,40.26,100,100,9.22
227,Sorland,NO,2022-11-29 21:43:37,67.667,12.6934,40.86,75,100,15.73
228,Le Vauclin,MQ,2022-11-29 21:43:11,14.5452,-60.8388,78.85,78,75,8.05
229,Los Llanos De Aridane,ES,2022-11-29 21:43:37,28.6585,-17.9182,65.95,79,100,10.36
230,Ostrovnoy,RU,2022-11-29 21:43:38,68.0531,39.5131,25.61,93,60,10.96
231,Qeshm,IR,2022-11-29 21:43:38,26.9581,56.2719,75.09,66,47,8.93
232,Vila Velha,BR,2022-11-29 21:44:38,-20.3297,-40.2925,73.35,94,100,9.22
233,Cooma,AU,2022-11-29 21:44:39,-36.2333,149.1333,57.6,61,31,4.47
234,Waipawa,NZ,2022-11-29 21:44:39,-41.4122,175.5153,64.85,58,83,17.65
235,San Jose De Rio Tinto,HN,2022-11-29 21:44:40,14.9333,-85.7,92.77,75,84,4.63
236,Ucluelet,CA,2022-11-29 21:44:40,48.9329,-125.5528,34.09,91,100,3.0
237,Mata De Sao Joao,BR,2022-11-29 21:44:40,-12.5303,-38.2992,78.55,92,91,4.29
